Field_Number	Sample_Collector	Country	State	Near_Town	Lat	Long	Stage	Month	Day	Year	Pop
99N0530		CAN	PQ	Montreal  	45.67	-73.52	Breeding	JUN	21	1999	20
00N5172	GRAHAM TAYLOR	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUL	19	2000	21
00N5173	GRAHAM TAYLOR	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUL	19	2000	21
11N3234	Graham Taylor	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUN	14	2011	21
12N2944	Graham Taylor	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUN	15	2012	21
00N5171	GRAHAM TAYLOR	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUL	7	2000	21
11N3237	Graham Taylor	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUN	26	2011	21
11N3238	Graham Taylor	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUN	26	2011	21
11N3239	Graham Taylor	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUN	26	2011	21
11N3240	Graham Taylor	USA	MT	Holter Dam	46.93	-111.92	Breeding	JUN	26	2011	21
12N2929	Graham Taylor	USA	MT	Holter Dam	46.93	-111.92	Breeding	MAY	31	2012	21
12N2930	Graham Taylor	USA	MT	Holter Dam	46.93	-111.92	Breeding	MAY	31	2012	21
02N1139	IBP	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUN	6	2002	22
02N1140	IBP	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUN	6	2002	22
03N4284	IBP	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUN	8	2003	22
03N6131	IBP-MAPS	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUL	6	2003	22
03N6132	IBP-MAPS	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUL	6	2003	22
04N7586	IBP-MAPS	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUN	7	2004	22
04N7587	IBP-MAPS	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUN	13	2004	22
04N7588	IBP-MAPS	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUL	15	2004	22
05N5632	IBP	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUN	15	2005	22
09N17508	"Taketa, Moore"	USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUL	3	2009	22
97N6283		USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUN	15	1997	22
97N6284		USA	WA	Goose Prairie 	46.95	-121.31	Breeding	JUN	30	1997	22
02N2288	IBP	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	3	2002	23
02N2289	IBP	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	3	2002	23
02N2292	IBP	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	3	2002	23
05N5315	IBP	USA	MT	Ravalli	47.29	-114.17	Breeding	JUN	23	2005	23
